"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"1001","1001","Light Cult Crypto Club #1001","RE-002811","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1001.png","11632","images/1001-1100/LCCC-1001.png","LCCC-1001.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1001.png","items/lccc-1001.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1001","OK",""
"1002","1002","Light Cult Crypto Club #1002","RE-002812","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1002.png","29677","images/1001-1100/LCCC-1002.png","LCCC-1002.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1002.png","items/lccc-1002.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1002","OK",""
"1003","1003","Light Cult Crypto Club #1003","RE-002813","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1003.png","7506","images/1001-1100/LCCC-1003.png","LCCC-1003.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1003.png","items/lccc-1003.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1003","OK",""
"1004","1004","Light Cult Crypto Club #1004","RE-002814","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1004.png","39394","images/1001-1100/LCCC-1004.png","LCCC-1004.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1004.png","items/lccc-1004.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1004","OK",""
"1005","1005","Light Cult Crypto Club #1005","RE-002815","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1005.png","32080","images/1001-1100/LCCC-1005.png","LCCC-1005.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1005.png","items/lccc-1005.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1005","OK",""
"1006","1006","Light Cult Crypto Club #1006","RE-002816","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1006.png","8413","images/1001-1100/LCCC-1006.png","LCCC-1006.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1006.png","items/lccc-1006.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1006","OK",""
"1007","1007","Light Cult Crypto Club #1007","RE-002817","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1007.png","16004","images/1001-1100/LCCC-1007.png","LCCC-1007.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1007.png","items/lccc-1007.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1007","OK",""
"1008","1008","Light Cult Crypto Club #1008","RE-002818","1001-1100","","","","","","items/lccc-1008.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1008","MISSING SOURCE IMAGE","No source image found for token #1008"
"1009","1009","Light Cult Crypto Club #1009","RE-002819","1001-1100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-1009.png","10364","images/1001-1100/LCCC-1009.png","LCCC-1009.png","D:\github\ron-english-light-cult-1001-2000\images\1001-1100\LCCC-1009.png","items/lccc-1009.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1009","OK",""
"1010","1010","Light Cult Crypto Club #1010","RE-002820","1001-1100","","","","","","items/lccc-1010.html","https://ronenglish-archive.github.io/ron-english-light-cult-1001-2000/items/lccc-1010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/1010","MISSING SOURCE IMAGE","No source image found for token #1010"
